"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"KLHL32",-0.242027714829177,3.9476814942187,-1.56281508311948,0.118740321370856,0.378276845321889,-4.76873329829102
"EPHB1",0.305765503042361,4.91270819737314,1.56229960339756,0.118861655706445,0.378532451264301,-4.76947698145018
"FAM19A5",-0.263581704723481,6.35951147575758,-1.56165983435886,0.119012380993057,0.378682926921068,-4.77039963936681
"DCDC2B",-0.36453991599795,2.10439557435153,-1.56159926320913,0.119026658932251,0.378682926921068,-4.77048697409492
"FCGR1B",-0.207648589622984,7.01580345686148,-1.56157552237795,0.119032255530564,0.378682926921068,-4.7705212039827
"SPATA13",-0.1696076940121,8.26831824434705,-1.56121091649879,0.119118232707777,0.378825595040961,-4.77104683355493
"BEST1",-0.156209175659139,5.45382622811907,-1.56014606238768,0.119369613906469,0.379494009001927,-4.77258127210242
"THUMPD3-AS1",-0.15804853447037,8.00701395142427,-1.55964449456766,0.119488163891262,0.379739816921506,-4.77330366482531
"CDH15",-0.342542227591331,5.37576764378442,-1.55895798989074,0.119650575299225,0.380124801140345,-4.77429204387324
"LRRC18",-0.290906674036225,2.33459129559344,-1.55864905720235,0.119723718322484,0.380226015775888,-4.77473668201548
"HRG",0.208431105052464,0.839993194960368,1.55836424901435,0.119791180738118,0.380309126024842,-4.7751465211997
"ALOX5AP",-0.218939936725483,9.29321183027531,-1.55767108862174,0.119955494192627,0.380638790674846,-4.77614366984829
"TCP10L",-0.197379304849109,3.36334904935646,-1.5575775651486,0.119977677451583,0.380638790674846,-4.77627817480653
"SLC7A4",-0.375243685015392,4.1405962324313,-1.55687086370288,0.120145407379859,0.381039670099347,-4.77729429071759
"CYSLTR1",-0.221909710605465,5.77199487804763,-1.55612081134512,0.120323627701995,0.381430747002451,-4.77837223871939
"CPNE7",-0.291640976546188,6.07880199512088,-1.55600338880152,0.120351547316951,0.381430747002451,-4.77854094760347
"C10orf107",-0.354843070579641,3.59773699325295,-1.55539711233573,0.120495782915689,0.381643313680233,-4.77941182544393
"BMPR1B",0.32645719063552,5.99687469994642,1.55537311985407,0.120501493613694,0.381643313680233,-4.77944628222039
"C1orf129",-0.274732344552884,1.41702132302144,-1.55488552008917,0.120617598312058,0.381725530267684,-4.78014643414022
"CSDC2",-0.224850985150283,6.08029583227539,-1.55481220496006,0.12063506331889,0.381725530267684,-4.78025168966369
"MUC16",0.614351213343472,7.82962656242085,1.55450840103337,0.120707456138968,0.381725530267684,-4.78068779616187
"FCER1G",-0.184586820944161,9.55653911439743,-1.55414591291205,0.120793877311916,0.381725530267684,-4.7812080327096
"EXOC6B",0.150728868306537,6.85382072546762,1.55413400866142,0.120796716240252,0.381725530267684,-4.78122511544385
"ARMC9",-0.162196892783664,8.44719707400934,-1.55412900906098,0.120797908561692,0.381725530267684,-4.78123228988837
